epoch,train_accuracy,val_accuracy,train_loss,val_loss,train_top5_accuracy,val_top5_accuracy
1,0.4091862142086029,0.6140319108963013,2.576040506362915,1.487210750579834,0.6633793711662292,0.847244381904602
2,0.6473566889762878,0.6759245991706848,1.7950303554534912,1.1938120126724243,0.8757216930389404,0.9072515964508057
3,0.7040448188781738,0.7007614374160767,1.6225920915603638,1.138504147529602,0.9118472337722778,0.9144670367240906
4,0.7130761742591858,0.7235678434371948,1.5674853324890137,1.0071654319763184,0.9239267110824585,0.9321972727775574
5,0.7315824627876282,0.7345902919769287,1.5007175207138062,1.0289896726608276,0.9358772039413452,0.9226976633071899
6,0.7629584074020386,0.7572879195213318,1.4188485145568848,0.9115346074104309,0.9511256814002991,0.9423495531082153
7,0.7697319984436035,0.7428209185600281,1.3748499155044556,0.963779091835022,0.956318736076355,0.9387236833572388
8,0.7420653104782104,0.7446337938308716,1.4488037824630737,0.9547157883644104,0.9467148780822754,0.93658447265625
9,0.5635906457901001,0.37023207545280457,2.0736031532287598,2.3251402378082275,0.8106392621994019,0.7029368877410889
10,0.6080299019813538,0.5245830416679382,1.9032224416732788,1.7974210977554321,0.8462971448898315,0.8088832497596741
11,0.5415282845497131,0.05279187858104706,2.153899908065796,3.5842013359069824,0.7438715696334839,0.3049311339855194
12,0.27102217078208923,0.5633792877197266,2.9512014389038086,1.636134147644043,0.5486888289451599,0.8302030563354492
13,0.6785311698913574,0.7190355658531189,1.6549432277679443,1.0358158349990845,0.9115005135536194,0.9303843975067139
14,0.7505322098731995,0.7303118705749512,1.426471471786499,0.9369494318962097,0.9494242668151855,0.9515953660011292
15,0.6603474020957947,0.7349529266357422,1.716944932937622,0.9835329055786133,0.8824791312217712,0.9283539056777954
16,0.6501871347427368,0.7182741165161133,1.7171131372451782,1.0468121767044067,0.8945586085319519,0.9230602383613586
17,0.7377753853797913,0.7312182784080505,1.4602206945419312,0.9963815212249756,0.9446908235549927,0.9368020296096802
18,0.7086572051048279,0.6961204409599304,1.5510389804840088,1.0817656517028809,0.9289907813072205,0.9176215529441833
19,0.6997548937797546,0.6440174579620361,1.5727039575576782,1.261282205581665,0.9245879650115967,0.9045323133468628
20,0.7263813018798828,0.7404641509056091,1.5025627613067627,0.910868763923645,0.9339580535888672,0.943691074848175
21,0.7262442111968994,0.7562726736068726,1.4880038499832153,0.8974869847297668,0.9393768310546875,0.9405366778373718
22,0.7659903764724731,0.6955764889717102,1.3702852725982666,1.0391383171081543,0.9592459201812744,0.9395214319229126
23,0.7243573665618896,0.7081218361854553,1.4846782684326172,1.0877482891082764,0.9378124475479126,0.9145758152008057
24,0.7375657558441162,0.7229876518249512,1.4713854789733887,1.0347585678100586,0.9392719864845276,0.9171863794326782
25,0.7250104546546936,0.7365120053291321,1.5006974935531616,0.9343888759613037,0.9375705718994141,0.9358956217765808
26,0.7323565483093262,0.7345902919769287,1.472327470779419,0.9723140001296997,0.9429974555969238,0.92958664894104
